Wed Jun 09 19:27:35 2021

21.06.02-03_008.top image. S02

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): -50; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 70.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (14.8,6.5)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   
    92.0     0.806    1.424    0.620    0.397    0.796    0.437    0.774    0.314    0.181    0.217   45.746   45.740   45.742   45.738   45.749   45.749   45.738   45.739   45.744   45.746  
    98.0     0.787    1.555    0.783    0.419    0.778    0.550    0.807    0.362    0.213    0.256   45.750   45.741   45.740   45.737   45.747   45.749   45.740   45.741   45.744   45.745  
   104.0     0.874    1.505    0.755    0.440    0.778    0.602    0.902    0.342    0.222    0.301   45.750   45.740   45.744   45.739   45.747   45.748   45.738   45.741   45.744   45.746  
   110.0     0.878    1.725    0.791    0.447    0.942    0.605    0.995    0.403    0.261    0.350   45.751   45.740   45.744   45.741   45.747   45.747   45.740   45.743   45.746   45.746  
   115.9     0.928    1.790    0.894    0.477    0.946    0.637    1.145    0.440    0.273    0.385   45.751   45.741   45.747   45.744   45.749   45.749   45.742   45.741   45.746   45.749  
   121.9     1.113    1.886    0.918    0.526    1.007    0.769    1.276    0.426    0.331    0.414   45.752   45.741   45.748   45.743   45.751   45.748   45.741   45.743   45.746   45.751  
   127.9     1.397    1.901    0.878    0.550    0.966    0.780    1.377    0.493    0.377    0.454   45.749   45.739   45.741   45.741   45.749   45.748   45.739   45.742   45.741   45.746  
   133.9     1.270    2.003    1.043    0.594    1.083    0.775    1.679    0.556    0.371    0.492   45.751   45.740   45.744   45.743   45.749   45.747   45.741   45.745   45.742   45.749  
   139.9     1.376    2.252    1.032    0.658    1.093    0.778    1.810    0.604    0.361    0.519   45.752   45.743   45.744   45.744   45.749   45.750   45.743   45.746   45.744   45.751  
   145.8     1.676    2.722    0.973    0.679    1.126    0.873    1.898    0.585    0.395    0.566   45.750   45.743   45.744   45.744   45.750   45.753   45.741   45.744   45.745   45.749  
   151.8     1.733    2.438    1.041    0.751    1.202    0.959    2.033    0.684    0.427    0.583   45.753   45.740   45.743   45.746   45.751   45.749   45.742   45.744   45.747   45.750  
   157.8     1.672    2.552    1.374    0.818    1.362    1.031    2.275    0.785    0.456    0.632   45.753   45.744   45.742   45.746   45.749   45.748   45.743   45.743   45.746   45.752  
   163.8     1.773    2.728    1.652    0.847    1.549    1.113    2.499    0.945    0.533    0.702   45.751   45.745   45.743   45.748   45.748   45.747   45.744   45.749   45.748   45.751  
   169.8     2.251    2.766    1.940    0.912    1.659    1.099    2.822    0.893    0.593    0.735   45.748   45.739   45.737   45.743   45.746   45.740   45.739   45.744   45.745   45.742  
   175.7     2.170    3.178    1.910    0.874    1.667    1.115    2.782    1.008    0.594    0.774   45.747   45.738   45.738   45.743   45.747   45.740   45.740   45.742   45.746   45.745  
   181.7     2.058    3.318    1.626    0.891    1.853    1.120    2.898    1.150    0.634    0.874   45.749   45.739   45.739   45.741   45.749   45.745   45.738   45.745   45.747   45.747  
   187.7     1.948    3.406    1.533    0.955    1.840    1.237    2.959    1.173    0.767    0.947   45.750   45.741   45.740   45.743   45.749   45.747   45.740   45.745   45.744   45.746  
   193.7     1.843    3.595    1.892    1.090    1.923    1.170    3.285    1.179    0.791    1.040   45.752   45.741   45.742   45.742   45.750   45.748   45.740   45.745   45.746   45.748  
