Wed Jun 09 19:00:57 2021

21.06.02-03_007.top image. S05

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): 50; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 50.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (8.3,9.9)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   
  -230.9    -0.322   -0.340   -0.386   -0.665   -1.494   -0.028   -0.032   -0.033   -0.088   -0.077   45.744   45.759   45.744   45.744   45.745   45.751   45.751   45.748   45.748   45.750  
  -224.9    -0.294   -0.306   -0.355   -0.624   -1.386   -0.027   -0.031   -0.032   -0.088   -0.072   45.745   45.755   45.745   45.745   45.745   45.751   45.751   45.750   45.746   45.751  
  -218.9    -0.285   -0.308   -0.334   -0.583   -1.416   -0.024   -0.030   -0.033   -0.073   -0.079   45.747   45.757   45.748   45.745   45.748   45.754   45.752   45.750   45.747   45.750  
  -213.0    -0.257   -0.298   -0.314   -0.511   -1.350   -0.025   -0.033   -0.034   -0.079   -0.084   45.747   45.755   45.740   45.744   45.746   45.749   45.745   45.746   45.744   45.745  
  -207.0    -0.242   -0.272   -0.320   -0.498   -1.303   -0.028   -0.032   -0.032   -0.079   -0.085   45.750   45.757   45.745   45.742   45.746   45.750   45.746   45.748   45.744   45.750  
  -201.0    -0.259   -0.248   -0.302   -0.485   -1.004   -0.024   -0.033   -0.030   -0.074   -0.100   45.750   45.759   45.745   45.743   45.744   45.752   45.749   45.750   45.746   45.751  
  -195.0    -0.271   -0.247   -0.264   -0.477   -1.086   -0.022   -0.033   -0.027   -0.067   -0.096   45.746   45.757   45.748   45.745   45.747   45.755   45.751   45.750   45.746   45.753  
  -189.0    -0.234   -0.231   -0.245   -0.422   -0.917   -0.022   -0.033   -0.028   -0.070   -0.094   45.751   45.756   45.750   45.747   45.748   45.755   45.750   45.749   45.747   45.752  
  -183.1    -0.196   -0.211   -0.230   -0.411   -0.671   -0.022   -0.032   -0.029   -0.070   -0.083   45.749   45.757   45.752   45.745   45.749   45.757   45.752   45.751   45.748   45.754  
  -177.1    -0.210   -0.200   -0.229   -0.420   -0.710   -0.022   -0.030   -0.029   -0.069   -0.073   45.750   45.758   45.751   45.745   45.749   45.757   45.752   45.751   45.748   45.756  
  -171.1    -0.200   -0.210   -0.243   -0.448   -0.644   -0.022   -0.029   -0.029   -0.069   -0.086   45.745   45.755   45.744   45.741   45.743   45.751   45.746   45.746   45.743   45.748  
  -165.1    -0.187   -0.183   -0.225   -0.421   -0.490   -0.022   -0.030   -0.028   -0.060   -0.080   45.746   45.758   45.747   45.742   45.745   45.751   45.748   45.747   45.745   45.751  
  -159.1    -0.180   -0.163   -0.210   -0.403   -0.506   -0.025   -0.031   -0.026   -0.057   -0.066   45.747   45.756   45.749   45.742   45.743   45.751   45.747   45.746   45.744   45.752  
