Wed Jun 09 18:45:24 2021

21.06.02-03_007.top image. S03

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): -150; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 50.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (11.8,10.9)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   
   -81.4    -0.576   -0.171   -0.420   -0.734   -0.689   -0.083   -0.024   -0.052   -0.054   -0.069   45.750   45.754   45.762   45.749   45.749   45.759   45.765   45.762   45.766   45.757  
   -75.4    -0.509   -0.144   -0.396   -0.660   -0.760   -0.070   -0.025   -0.049   -0.053   -0.058   45.753   45.753   45.764   45.746   45.751   45.759   45.765   45.762   45.765   45.761  
   -69.4    -0.420   -0.116   -0.376   -0.633   -0.689   -0.068   -0.024   -0.045   -0.058   -0.061   45.758   45.758   45.764   45.746   45.752   45.762   45.771   45.764   45.764   45.760  
   -63.5    -0.406   -0.110   -0.307   -0.524   -0.583   -0.071   -0.022   -0.044   -0.049   -0.051   45.753   45.757   45.761   45.747   45.751   45.760   45.767   45.762   45.765   45.759  
   -57.5    -0.361   -0.100   -0.258   -0.492   -0.514   -0.064   -0.021   -0.040   -0.042   -0.051   45.759   45.759   45.760   45.749   45.757   45.762   45.765   45.763   45.766   45.765  
   -51.5    -0.322   -0.086   -0.239   -0.409   -0.432   -0.057   -0.021   -0.036   -0.038   -0.045   45.755   45.760   45.759   45.750   45.756   45.764   45.765   45.760   45.765   45.765  
   -45.5    -0.265   -0.073   -0.211   -0.369   -0.373   -0.052   -0.019   -0.033   -0.035   -0.040   45.756   45.757   45.762   45.748   45.755   45.761   45.769   45.762   45.761   45.767  
   -39.5    -0.225   -0.065   -0.159   -0.279   -0.298   -0.050   -0.018   -0.029   -0.031   -0.039   45.758   45.759   45.760   45.747   45.752   45.761   45.766   45.763   45.763   45.765  
   -33.6    -0.201   -0.056   -0.133   -0.235   -0.238   -0.047   -0.018   -0.028   -0.027   -0.034   45.760   45.762   45.765   45.748   45.754   45.760   45.765   45.766   45.757   45.768  
   -27.6    -0.152   -0.045   -0.115   -0.186   -0.217   -0.033   -0.017   -0.024   -0.023   -0.029   45.760   45.763   45.766   45.752   45.755   45.762   45.769   45.766   45.758   45.765  
